48 Well Classic Well / Electrode,CytoView Well / Electrode,ChannelAchk,ChannelIndex
D1_31,D123,6,58
D1_13,D111,6,59
D4_43,D134,6,60
D1_11,D114,6,61
D4_33,D124,6,62
D1_23,D133,6,63
F3_14,E341,7,0
F3_13,E343,7,1
F3_23,E342,7,2
D3_44,E344,7,3
D3_32,E322,7,4
F3_24,E332,7,5
D3_42,E321,7,6
D3_34,E331,7,7
E3_42,E313,7,8
E3_33,E312,7,9
E3_43,E323,7,10
D3_24,E311,7,11
E3_31,E334,7,12
E3_32,E314,7,13
E3_41,E324,7,14
D3_14,E333,7,15
E3_22,D341,7,16
E3_21,D343,7,17
E3_11,D342,7,18
D3_22,D344,7,19
E3_23,D322,7,20
E3_12,D332,7,21
E3_13,D321,7,22
D3_12,D331,7,23
E3_34,D313,7,24
E3_14,D312,7,25
E3_24,D323,7,26
D3_13,D311,7,27
F2_33,D334,7,28
F2_34,D314,7,29
F2_44,D324,7,30
D3_23,D333,7,31
F2_32,F241,7,32
F2_43,F243,7,33
F2_42,F242,7,34
D2_41,F244,7,35
F2_21,F222,7,36
F2_41,F232,7,37
F2_31,F221,7,38
D2_31,F231,7,39
F2_12,F213,7,40
F2_11,F212,7,41
F2_22,F223,7,42
D2_21,F211,7,43
F2_14,F234,7,44
F2_13,F214,7,45
F2_23,F224,7,46
D2_11,F233,7,47
D2_33,E241,7,48
F2_24,E243,7,49
E3_44,E242,7,50
D2_44,E244,7,51
D2_32,E222,7,52
D2_43,E232,7,53
D2_42,E221,7,54
D2_34,E231,7,55
E2_42,E213,7,56
E2_33,E212,7,57
E2_43,E223,7,58
D2_24,E211,7,59
E2_31,E234,7,60
E2_32,E214,7,61
E2_41,E224,7,62
D2_14,E233,7,63
D5_12,F443,8,0
D5_22,F444,8,1
D4_42,F441,8,2
D4_32,F442,8,3
F4_33,F422,8,4
F4_34,F432,8,5
F4_44,F421,8,6
D4_21,F431,8,7
F4_32,F413,8,8
F4_43,F412,8,9
F4_42,F423,8,10
D4_11,F411,8,11
F4_21,F434,8,12
F4_41,F414,8,13
F4_31,F424,8,14
D4_44,F433,8,15
F4_12,E441,8,16
F4_11,E443,8,17
F4_22,E442,8,18
D4_34,E444,8,19
F4_14,E422,8,20
F4_13,E432,8,21
